# A shellable, dual-non-W_v-path triangulation of S^3
# made by Peter Mani and David W. Walkup in
#   "A 3-sphere counterexample to the W_v-path conjecture,"
#   Math. Oper. Res., 5(1980), 595-598.
# This sphere is called "C" in the paper.
#
# Changed from "a,b,c,..." into "1,2,3,..." and sorted.
#
# f=(1,20,126,212,106).
#
1 2 3 4 
1 2 3 18 
1 2 4 20 
1 2 13 18 
1 2 13 20 
1 3 4 18 
1 4 16 18 
1 4 16 20 
1 5 10 13 
1 5 10 14 
1 5 11 14 
1 5 11 15 
1 5 13 18 
1 5 15 17 
1 5 17 18 
1 8 9 13 
1 8 9 16 
1 8 10 13 
1 8 10 14 
1 8 14 17 
1 8 16 18 
1 8 17 18 
1 9 13 20 
1 9 16 20 
1 11 14 19 
1 11 15 19 
1 14 15 17 
1 14 15 19 
2 3 4 20 
2 3 14 18 
2 3 14 20 
2 5 10 13 
2 5 10 14 
2 5 11 14 
2 5 11 15 
2 5 13 18 
2 5 15 17 
2 5 17 18 
2 6 11 14 
2 6 11 15 
2 6 12 15 
2 6 12 16 
2 6 14 18 
2 6 16 17 
2 6 17 18 
2 10 13 20 
2 10 14 20 
2 12 15 19 
2 12 16 19 
2 15 16 17 
2 15 16 19 
3 4 15 18 
3 4 15 20 
3 6 11 14 
3 6 11 15 
3 6 12 15 
3 6 12 16 
3 6 14 18 
3 6 16 17 
3 6 17 18 
3 7 9 13 
3 7 9 16 
3 7 12 15 
3 7 12 16 
3 7 13 17 
3 7 15 18 
3 7 17 18 
3 9 13 19 
3 9 16 19 
3 11 14 20 
3 11 15 20 
3 13 16 17 
3 13 16 19 
4 7 9 13 
4 7 9 16 
4 7 12 15 
4 7 12 16 
4 7 13 17 
4 7 15 18 
4 7 17 18 
4 8 9 13 
4 8 9 16 
4 8 10 13 
4 8 10 14 
4 8 14 17 
4 8 16 18 
4 8 17 18 
4 10 13 19 
4 10 14 19 
4 12 15 20 
4 12 16 20 
4 13 14 17 
4 13 14 19 
9 13 19 20 
9 16 19 20 
10 13 19 20 
10 14 19 20 
11 14 19 20 
11 15 19 20 
12 15 19 20 
12 16 19 20 
13 14 15 16 
13 14 15 17 
13 14 16 19 
13 15 16 17 
14 15 16 19 
