# 18 vertex triangulation of non-PL 5-sphere
# made by Bjo"rner and Lutz construction,
# in "Simplicial manifolds, bistellar flips and a 16-vertex
#     triangulation of the Poincar\'e homology 3-sphere",
#     to appear in Experimental Mathematics.
# This example has f = (1,18,141,515,930,807,269).
#
1 2 3 12 15 17 
1 2 3 12 15 18 
1 2 3 12 16 17 
1 2 3 12 16 18 
1 2 3 13 15 17 
1 2 3 13 15 18 
1 2 3 13 16 17 
1 2 3 13 16 18 
1 2 10 12 15 17 
1 2 10 12 15 18 
1 2 10 12 16 17 
1 2 10 12 16 18 
1 2 10 15 16 17 
1 2 10 15 16 18 
1 2 13 15 16 17 
1 2 13 15 16 18 
1 3 8 13 15 17 
1 3 8 13 15 18 
1 3 8 13 16 17 
1 3 8 13 16 18 
1 3 8 15 17 18 
1 3 8 16 17 18 
1 3 9 12 15 17 
1 3 9 12 15 18 
1 3 9 12 16 17 
1 3 9 12 16 18 
1 3 9 15 17 18 
1 3 9 16 17 18 
1 5 8 15 16 17 
1 5 8 15 16 18 
1 5 8 15 17 18 
1 5 8 16 17 18 
1 5 10 11 15 17 
1 5 10 11 15 18 
1 5 10 11 16 17 
1 5 10 11 16 18 
1 5 10 15 16 17 
1 5 10 15 16 18 
1 5 11 15 17 18 
1 5 11 16 17 18 
1 8 13 15 16 17 
1 8 13 15 16 18 
1 9 11 12 15 17 
1 9 11 12 15 18 
1 9 11 12 16 17 
1 9 11 12 16 18 
1 9 11 15 17 18 
1 9 11 16 17 18 
1 10 11 12 15 17 
1 10 11 12 15 18 
1 10 11 12 16 17 
1 10 11 12 16 18 
2 3 4 5 15 17 
2 3 4 5 15 18 
2 3 4 5 16 17 
2 3 4 5 16 18 
2 3 4 12 15 17 
2 3 4 12 15 18 
2 3 4 12 16 17 
2 3 4 12 16 18 
2 3 5 13 15 17 
2 3 5 13 15 18 
2 3 5 13 16 17 
2 3 5 13 16 18 
2 4 5 9 15 17 
2 4 5 9 15 18 
2 4 5 9 16 17 
2 4 5 9 16 18 
2 4 8 9 15 17 
2 4 8 9 15 18 
2 4 8 9 16 17 
2 4 8 9 16 18 
2 4 8 12 15 17 
2 4 8 12 15 18 
2 4 8 12 16 17 
2 4 8 12 16 18 
2 5 9 13 15 17 
2 5 9 13 15 18 
2 5 9 13 16 17 
2 5 9 13 16 18 
2 6 7 10 15 17 
2 6 7 10 15 18 
2 6 7 10 16 17 
2 6 7 10 16 18 
2 6 7 11 15 17 
2 6 7 11 15 18 
2 6 7 11 16 17 
2 6 7 11 16 18 
2 6 8 11 15 17 
2 6 8 11 15 18 
2 6 8 11 16 17 
2 6 8 11 16 18 
2 6 8 12 15 17 
2 6 8 12 15 18 
2 6 8 12 16 17 
2 6 8 12 16 18 
2 6 10 12 15 17 
2 6 10 12 15 18 
2 6 10 12 16 17 
2 6 10 12 16 18 
2 7 10 15 16 17 
2 7 10 15 16 18 
2 7 11 15 17 18 
2 7 11 16 17 18 
2 7 15 16 17 18 
2 8 9 11 15 17 
2 8 9 11 15 18 
2 8 9 11 16 17 
2 8 9 11 16 18 
2 9 11 15 17 18 
2 9 11 16 17 18 
2 9 13 15 17 18 
2 9 13 16 17 18 
2 13 15 16 17 18 
3 4 5 11 15 17 
3 4 5 11 15 18 
3 4 5 11 16 17 
3 4 5 11 16 18 
3 4 11 15 16 17 
3 4 11 15 16 18 
3 4 12 15 16 17 
3 4 12 15 16 18 
3 5 7 11 15 17 
3 5 7 11 15 18 
3 5 7 11 16 17 
3 5 7 11 16 18 
3 5 7 13 15 17 
3 5 7 13 15 18 
3 5 7 13 16 17 
3 5 7 13 16 18 
3 6 7 10 15 17 
3 6 7 10 15 18 
3 6 7 10 16 17 
3 6 7 10 16 18 
3 6 7 11 15 17 
3 6 7 11 15 18 
3 6 7 11 16 17 
3 6 7 11 16 18 
3 6 9 15 16 17 
3 6 9 15 16 18 
3 6 9 15 17 18 
3 6 9 16 17 18 
3 6 10 15 17 18 
3 6 10 16 17 18 
3 6 11 15 16 17 
3 6 11 15 16 18 
3 7 8 10 15 17 
3 7 8 10 15 18 
3 7 8 10 16 17 
3 7 8 10 16 18 
3 7 8 13 15 17 
3 7 8 13 15 18 
3 7 8 13 16 17 
3 7 8 13 16 18 
3 8 10 15 17 18 
3 8 10 16 17 18 
3 9 12 15 16 17 
3 9 12 15 16 18 
4 5 9 10 15 17 
4 5 9 10 15 18 
4 5 9 10 16 17 
4 5 9 10 16 18 
4 5 10 11 15 17 
4 5 10 11 15 18 
4 5 10 11 16 17 
4 5 10 11 16 18 
4 8 9 10 15 17 
4 8 9 10 15 18 
4 8 9 10 16 17 
4 8 9 10 16 18 
4 8 10 15 17 18 
4 8 10 16 17 18 
4 8 12 15 17 18 
4 8 12 16 17 18 
4 10 11 13 15 17 
4 10 11 13 15 18 
4 10 11 13 16 17 
4 10 11 13 16 18 
4 10 13 15 17 18 
4 10 13 16 17 18 
4 11 13 15 16 17 
4 11 13 15 16 18 
4 12 15 16 17 18 
4 13 15 16 17 18 
5 6 8 12 15 17 
5 6 8 12 15 18 
5 6 8 12 16 17 
5 6 8 12 16 18 
5 6 8 15 16 17 
5 6 8 15 16 18 
5 6 9 13 15 17 
5 6 9 13 15 18 
5 6 9 13 16 17 
5 6 9 13 16 18 
5 6 9 15 16 17 
5 6 9 15 16 18 
5 6 12 13 15 17 
5 6 12 13 15 18 
5 6 12 13 16 17 
5 6 12 13 16 18 
5 7 11 15 17 18 
5 7 11 16 17 18 
5 7 12 13 15 17 
5 7 12 13 15 18 
5 7 12 13 16 17 
5 7 12 13 16 18 
5 7 12 15 17 18 
5 7 12 16 17 18 
5 8 12 15 17 18 
5 8 12 16 17 18 
5 9 10 15 16 17 
5 9 10 15 16 18 
6 8 11 15 16 17 
6 8 11 15 16 18 
6 9 13 15 17 18 
6 9 13 16 17 18 
6 10 12 13 15 17 
6 10 12 13 15 18 
6 10 12 13 16 17 
6 10 12 13 16 18 
6 10 13 15 17 18 
6 10 13 16 17 18 
7 8 9 10 15 17 
7 8 9 10 15 18 
7 8 9 10 16 17 
7 8 9 10 16 18 
7 8 9 14 15 17 
7 8 9 14 15 18 
7 8 9 14 16 17 
7 8 9 14 16 18 
7 8 13 14 15 17 
7 8 13 14 15 18 
7 8 13 14 16 17 
7 8 13 14 16 18 
7 9 10 15 16 17 
7 9 10 15 16 18 
7 9 12 14 15 17 
7 9 12 14 15 18 
7 9 12 14 16 17 
7 9 12 14 16 18 
7 9 12 15 16 17 
7 9 12 15 16 18 
7 12 13 14 15 17 
7 12 13 14 15 18 
7 12 13 14 16 17 
7 12 13 14 16 18 
7 12 15 16 17 18 
8 9 11 14 15 17 
8 9 11 14 15 18 
8 9 11 14 16 17 
8 9 11 14 16 18 
8 11 13 14 15 17 
8 11 13 14 15 18 
8 11 13 14 16 17 
8 11 13 14 16 18 
8 11 13 15 16 17 
8 11 13 15 16 18 
9 11 12 14 15 17 
9 11 12 14 15 18 
9 11 12 14 16 17 
9 11 12 14 16 18 
10 11 12 13 15 17 
10 11 12 13 15 18 
10 11 12 13 16 17 
10 11 12 13 16 18 
11 12 13 14 15 17 
11 12 13 14 15 18 
11 12 13 14 16 17 
11 12 13 14 16 18 
